"PValue_0.01_QValue_0.1","PValue_0.02_QValue_0.2","PValue_0.03_QValue_0.3","PValue_0.04_QValue_0.4","PValue_0.05_QValue_0.5","PValue_0.06_QValue_0.6","PValue_0.07_QValue_0.7","PValue_0.08_QValue_0.8","PValue_0.09_QValue_0.9"
"g1746","g1746","g1746","g1746","g1746","g1746","g1746","g1746","g1746"
"g4735","g4735","g4735","g4735","g4735","g4735","g4735","g3447",NA
NA,"g7580","g7580","g7580","g7580","g7580","g7580","g4735",NA
