"PValue_0.01_QValue_0.1","PValue_0.02_QValue_0.2","PValue_0.03_QValue_0.3","PValue_0.04_QValue_0.4","PValue_0.05_QValue_0.5","PValue_0.06_QValue_0.6","PValue_0.07_QValue_0.7","PValue_0.08_QValue_0.8","PValue_0.09_QValue_0.9"
"g7130","g3818","g2595","g2595","g2595","g1200","g1200","g1200","g7130"
NA,"g7130","g3818","g3771","g3771","g2595","g3818","g5325",NA
NA,"g8794","g4412","g3818","g3818","g3771","g4973","g7130",NA
NA,NA,"g7130","g4412","g4412","g3818","g5325","g7919",NA
NA,NA,"g8794","g5844","g4973","g4973","g7130",NA,NA
NA,NA,NA,"g7130","g5844","g5325","g7919",NA,NA
NA,NA,NA,"g8794","g7130","g7130",NA,NA,NA
NA,NA,NA,NA,"g8794","g7919",NA,NA,NA
NA,NA,NA,NA,NA,"g8794",NA,NA,NA
