"PValue_0.01_QValue_0.1","PValue_0.02_QValue_0.2","PValue_0.03_QValue_0.3","PValue_0.04_QValue_0.4","PValue_0.05_QValue_0.5","PValue_0.06_QValue_0.6","PValue_0.07_QValue_0.7","PValue_0.08_QValue_0.8","PValue_0.09_QValue_0.9"
"g2116","g2116","g2116","g2116","g2116","g2116","g2116","g2116","g8933"
"g6400","g4065","g3660","g2219","g2219","g3016","g3016","g3016",NA
"g7595","g6400","g4065","g3016","g3016","g3240","g3660","g3660",NA
"g7958","g7595","g4436","g3660","g3660","g3660","g4436","g4436",NA
"g8933","g7958","g6400","g4065","g4065","g4065","g4730","g7595",NA
NA,"g8933","g7595","g4436","g4436","g4436","g6400","g7958",NA
NA,NA,"g7958","g4730","g4730","g4730","g7579","g8933",NA
NA,NA,"g8933","g6400","g6400","g6400","g7595",NA,NA
NA,NA,NA,"g7579","g7579","g7579","g7958",NA,NA
NA,NA,NA,"g7595","g7595","g7595","g8933",NA,NA
NA,NA,NA,"g7958","g7700","g7958","g9050",NA,NA
NA,NA,NA,"g8933","g7958","g8933",NA,NA,NA
NA,NA,NA,NA,"g8933","g9050",NA,NA,NA
