"PValue_0.01_QValue_0.1","PValue_0.02_QValue_0.2","PValue_0.03_QValue_0.3","PValue_0.04_QValue_0.4","PValue_0.05_QValue_0.5","PValue_0.06_QValue_0.6","PValue_0.07_QValue_0.7","PValue_0.08_QValue_0.8","PValue_0.09_QValue_0.9"
"g3131","g2251","g2251","g2251","g2251","g2251","g2251","g2251","g5522"
"g4019","g3131","g3131","g3131","g3131","g3131","g3131","g4870",NA
"g4870","g4019","g4019","g4019","g4019","g4019","g4019","g5282",NA
"g5282","g4870","g4870","g4870","g4870","g4870","g4870","g6092",NA
"g5661","g5282","g5282","g5282","g5282","g5282","g5282",NA,NA
NA,"g5354","g5354","g5354","g5354","g5354","g5354",NA,NA
NA,"g5661","g5661","g5661","g5661","g6092","g6092",NA,NA
NA,"g6092","g6092","g6092","g6092","g7393","g7393",NA,NA
NA,NA,NA,"g7393","g7393",NA,"g7789",NA,NA
