"PValue_0.01_QValue_0.1","PValue_0.02_QValue_0.2","PValue_0.03_QValue_0.3","PValue_0.04_QValue_0.4","PValue_0.05_QValue_0.5","PValue_0.06_QValue_0.6","PValue_0.07_QValue_0.7","PValue_0.08_QValue_0.8","PValue_0.09_QValue_0.9"
"g1797","g1797","g1797","g1645","g1645","g1645","g1645","g2995","g336"
"g2995","g2957","g2120","g1797","g1797","g2255","g2255","g3020","g7585"
"g3020","g2995","g2957","g2120","g2957","g2995","g2995","g336",NA
"g336","g3020","g2995","g2957","g2995","g3020","g3020","g4003",NA
"g4003","g336","g3020","g2995","g3020","g336","g336","g4044",NA
"g4044","g4003","g336","g3020","g336","g4003","g4003","g6509",NA
"g6662","g4044","g4003","g336","g4003","g4044","g4044","g6662",NA
"g7917","g6662","g4044","g4003","g4044","g6509","g6509","g7569",NA
"g8660","g7569","g6509","g4044","g6509","g6662","g6662","g7585",NA
"g8713","g7917","g6662","g6509","g6662","g7325","g7325","g7917",NA
"g9406","g8660","g7325","g6662","g7325","g7569","g7569","g8660",NA
"g9842","g8713","g7569","g7325","g7569","g7917","g7585","g9406",NA
NA,"g9406","g7917","g7569","g7917","g8659","g7917","g9842",NA
NA,"g9842","g8659","g7917","g8659","g8660","g8659",NA,NA
NA,NA,"g8660","g8659","g8660","g8713","g8660",NA,NA
NA,NA,"g8713","g8660","g8713","g8880","g8880",NA,NA
NA,NA,"g9406","g8713","g8880","g9406","g9406",NA,NA
NA,NA,"g9842","g8880","g9406","g9442","g9442",NA,NA
NA,NA,NA,"g9406","g9442","g9489","g9489",NA,NA
NA,NA,NA,"g9842","g9842","g9842","g9842",NA,NA
