"PValue_0.01_QValue_0.1","PValue_0.02_QValue_0.2","PValue_0.03_QValue_0.3","PValue_0.04_QValue_0.4","PValue_0.05_QValue_0.5","PValue_0.06_QValue_0.6","PValue_0.07_QValue_0.7","PValue_0.08_QValue_0.8","PValue_0.09_QValue_0.9"
"g3341","g3341","g1322","g1322","g3341","g3341","g3341","g3341","g6709"
"g3741","g3741","g3341","g3341","g3731","g3731","g3731","g3731","g7450"
"g3867","g3867","g3741","g3741","g3741","g3741","g3741","g3741","g7489"
"g4255","g4255","g3867","g3867","g3809","g3809","g3867","g3867","g7944"
"g4354","g4354","g4255","g4255","g3867","g3867","g4255","g4255","g7957"
"g4631","g4631","g4354","g4354","g4255","g4255","g4354","g4354",NA
"g6211","g6211","g4631","g4631","g4354","g4354","g4631","g6211",NA
"g6709","g6709","g6133","g6133","g4631","g4631","g4658","g6709",NA
"g6813","g6813","g6211","g6211","g4658","g4658","g6133","g7139",NA
"g7450","g7139","g6709","g6709","g6133","g6133","g6211","g7450",NA
"g7944","g7450","g6813","g6813","g6211","g6211","g6709","g7489",NA
"g9032","g7489","g7139","g7139","g6709","g6709","g6801","g7944",NA
NA,"g7944","g7450","g7450","g6801","g6801","g7139","g7957",NA
NA,"g8481","g7489","g7489","g6813","g6813","g7450","g8481",NA
NA,"g9032","g7944","g7944","g7139","g7139","g7489","g9032",NA
NA,NA,"g8481","g7957","g7450","g7450","g7944","g9284",NA
NA,NA,"g9032","g8481","g7489","g7489","g7957",NA,NA
NA,NA,NA,"g9032","g7944","g7944","g8481",NA,NA
NA,NA,NA,NA,"g7957","g7957","g8534",NA,NA
NA,NA,NA,NA,"g8481","g8481","g9032",NA,NA
NA,NA,NA,NA,"g8534","g8534",NA,NA,NA
NA,NA,NA,NA,"g9032","g9032",NA,NA,NA
