"Threshold","True_Positives","False_Positives","True_Negatives","False_Negatives","Accuracy","Precision","Recall","F1_Score","FDR","Experiment"
0.09,487,46,8975,489,0.946483945183555,0.913696060037523,0.498975409836066,0.64546056991385,0.0863039399624766,"9_500_500"
0.01,438,13,8986,562,0.942494249424943,0.971175166297118,0.438,0.603721571330117,0.0288248337028825,"9_750_250"
0.02,462,20,8979,538,0.944194419441944,0.95850622406639,0.462,0.623481781376518,0.04149377593361,"9_750_250"
0.03,472,23,8976,528,0.944894489448945,0.953535353535354,0.472,0.631438127090301,0.0464646464646465,"9_750_250"
0.04,479,29,8970,521,0.944994499449945,0.942913385826772,0.479,0.635278514588859,0.0570866141732283,"9_750_250"
0.05,484,35,8964,516,0.944894489448945,0.932562620423892,0.484,0.637261356155365,0.0674373795761079,"9_750_250"
0.06,488,39,8960,512,0.944894489448945,0.925996204933586,0.488,0.639161755075311,0.0740037950664137,"9_750_250"
0.07,497,43,8956,503,0.945394539453945,0.92037037037037,0.497,0.645454545454546,0.0796296296296296,"9_750_250"
0.08,500,49,8950,500,0.945094509450945,0.910746812386157,0.5,0.645577792123951,0.0892531876138433,"9_750_250"
0.09,503,52,8947,497,0.945094509450945,0.906306306306306,0.503,0.646945337620579,0.0936936936936937,"9_750_250"
0.01,369,13,8987,630,0.935693569356936,0.965968586387435,0.369369369369369,0.534395365677046,0.0340314136125654,"9_1000_0"
0.02,393,13,8987,606,0.938093809380938,0.967980295566502,0.393393393393393,0.559430604982207,0.0320197044334975,"9_1000_0"
0.03,401,15,8985,598,0.938693869386939,0.963942307692308,0.401401401401401,0.56678445229682,0.0360576923076923,"9_1000_0"
0.04,408,20,8980,591,0.938893889388939,0.953271028037383,0.408408408408408,0.571829011913104,0.0467289719626168,"9_1000_0"
0.05,416,29,8971,583,0.938793879387939,0.934831460674157,0.416416416416416,0.576177285318559,0.0651685393258427,"9_1000_0"
0.06,421,37,8963,578,0.938493849384939,0.919213973799127,0.421421421421421,0.577899794097461,0.0807860262008734,"9_1000_0"
0.07,430,44,8956,569,0.938693869386939,0.907172995780591,0.43043043043043,0.583842498302783,0.0928270042194093,"9_1000_0"
0.08,436,44,8956,563,0.939293929392939,0.908333333333333,0.436436436436436,0.589587559161596,0.0916666666666667,"9_1000_0"
0.09,442,46,8954,557,0.93969396939694,0.905737704918033,0.442442442442442,0.59448554135844,0.0942622950819672,"9_1000_0"
