"PValue_0.01_QValue_0.1","PValue_0.02_QValue_0.2","PValue_0.03_QValue_0.3","PValue_0.04_QValue_0.4","PValue_0.05_QValue_0.5","PValue_0.06_QValue_0.6","PValue_0.07_QValue_0.7","PValue_0.08_QValue_0.8","PValue_0.09_QValue_0.9"
"g2030","g1817","g1612","g1612","g1372","g1372","g1372","g1372","g1817"
"g3513","g2030","g1817","g1817","g1612","g1612","g1645","g1817","g4697"
"g3543","g2779","g2030","g2030","g1817","g1645","g1817","g2779","g4880"
"g4072","g3513","g2060","g2060","g2030","g1817","g2060","g3513","g8376"
"g4683","g3543","g2779","g2779","g2060","g2060","g2779","g3543",NA
"g4697","g4072","g3513","g3513","g2779","g2779","g3513","g4683",NA
"g4880","g4683","g3543","g3543","g3513","g3513","g3543","g4697",NA
"g6535","g4697","g4072","g4072","g3543","g3543","g4072","g4880",NA
"g6866","g4880","g4683","g4683","g4072","g4072","g4683","g5454",NA
"g7606","g6535","g4697","g4697","g4683","g4683","g4697","g5540",NA
"g8276","g6866","g4880","g4880","g4697","g4697","g4880","g6866",NA
"g9313","g7155","g6535","g5540","g4880","g4880","g4913","g7155",NA
NA,"g7606","g6866","g6535","g5540","g5454","g5454","g7495",NA
NA,"g7756","g7155","g6866","g6535","g5540","g5540","g7706",NA
NA,"g8276","g7491","g7155","g6645","g6535","g6535","g7756",NA
NA,"g9313","g7606","g7491","g6866","g6645","g6645","g8462",NA
NA,"g9852","g7756","g7495","g7155","g6866","g6866","g8831",NA
NA,NA,"g8276","g7606","g7491","g7155","g7155","g9313",NA
NA,NA,"g8831","g7756","g7495","g7491","g7491",NA,NA
NA,NA,"g9313","g8276","g7606","g7495","g7495",NA,NA
NA,NA,"g9852","g8831","g7756","g7606","g7606",NA,NA
NA,NA,NA,"g9313","g8276","g7706","g7706",NA,NA
NA,NA,NA,"g9852","g8462","g7756","g7756",NA,NA
NA,NA,NA,NA,"g8831","g8462","g8462",NA,NA
NA,NA,NA,NA,"g9313","g8831","g8831",NA,NA
NA,NA,NA,NA,"g9852","g9313","g9313",NA,NA
