"PValue_0.01_QValue_0.1","PValue_0.02_QValue_0.2","PValue_0.03_QValue_0.3","PValue_0.04_QValue_0.4","PValue_0.05_QValue_0.5","PValue_0.06_QValue_0.6","PValue_0.07_QValue_0.7","PValue_0.08_QValue_0.8","PValue_0.09_QValue_0.9"
"g3537","g3537","g1309","g1309","g1309","g1309","g1309","g1309","g1309"
"g4440","g4440","g3537","g3255","g3255","g2572","g2572","g2572",NA
"g4473","g4473","g4440","g3537","g3537","g3255","g3255","g4828",NA
"g8818","g4545","g4473","g4402","g4402","g3537","g4440","g7457",NA
"g9898","g7462","g4545","g4440","g4440","g3553","g4473","g9224",NA
NA,"g8818","g4738","g4473","g4473","g4440","g4738",NA,NA
NA,"g9224","g7393","g4545","g4545","g4473","g4828",NA,NA
NA,"g9898","g7457","g4738","g4738","g4738","g7457",NA,NA
NA,NA,"g7462","g4833","g4833","g4828","g9224",NA,NA
NA,NA,"g8174","g7393","g7393","g7244","g9898",NA,NA
NA,NA,"g8818","g7457","g7457","g7457",NA,NA,NA
NA,NA,"g9224","g7462","g7462","g7462",NA,NA,NA
NA,NA,"g9898","g8174","g8174","g8174",NA,NA,NA
NA,NA,NA,"g8818","g8818","g8818",NA,NA,NA
NA,NA,NA,"g9224","g9224","g9224",NA,NA,NA
NA,NA,NA,"g9898","g9898","g9898",NA,NA,NA
